Wire,Diam,Color,Type,Code_no,Length,Connector_1,Port_1,Term_1,Seal_1,Wire_connection,Term_2,Seal_2,Connector_2,Port_2,Variant,Bundle,Loc_1,Loc_2,
1713.1,1.0,RD,litzed,761974,6227+L1,P072,4,1745814,1623427,P072:4 to 5CD:2,1676698,,5CD,2,DH148 DH84 DH85 DH90,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
1733,2.5,RD,litzed,761984,6450+L2,P071.P,15,1784460,1258969,P071.P:15 to P031.C:5,1623426,1258969,P031.C,5,DQ03,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
1734,2.5,RD,litzed,761984,6450+L2,P071.P,16,1784460,1258969,P071.P:16 to P031.C:1,1623426,1258969,P031.C,1,DQ03,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
1735,2.5,RD,litzed,761984,6450+L2,P071.P,8,1784460,1258969,P071.P:8 to P031.C:4,1623426,1258969,P031.C,4,DQ03,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
1736,2.5,RD,litzed,761984,6450+L2,P071.P,7,1784460,1258969,P071.P:7 to P031.C:2,1623426,1258969,P031.C,2,DQ03,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
1777,1.5,RD,litzed,761980,7220+L2,P097,6,1816054,2110833,P097:6 to P071.T:1,1816054,2110833,P071.T,1,DH102,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437653 2437655 2437657 2437659 2437661 2437663 2437665 2437667 2437669 2437671 2437673 2437675 2437677 2437679 2437781 2437782 2437783 2437786,?,?,
2008.1,1.0,YE,litzed,761975,3615,P031.D,4,1745814,1623427,P031.D:4 to 107F_plug:5,1745813,1623427,107F_plug,5,BR15 DH18 DH61 DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
2009.1,1.0,YE,litzed,761975,3615,P031.D,11,1745814,1623427,P031.D:11 to 107F_plug:6,1745813,1623427,107F_plug,6,BR15 DH18 DH61 DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
2040.3,1.0,YE,litzed,761975,6355+L2,P071.P,13,1745814,1623427,P071.P:13 to P031.D:14,1745814,1623427,P031.D,14,DQ03,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
2102.10,1.5,YE,litzed,761981,9112+L1+L2,108F_plug,3,1816055,2110833,108F_plug:3 to 6E:11,1683454,,6E,11,BR15 DH150 DH66,2437643 2437644 2437645 2437646 2437647 2437648 2437649 2437650 2437651 2437652 2437653 2437654 2437655 2437656 2437657 2437658 2437659 2437660 2437661 2437662 2437663 2437664 2437665 2437666 2437667 2437668 2437669 2437670 2437671 2437672 2437673 2437674 2437675 2437676 2437677 2437678 2437679 2437680 2437781 2437782 2437783 2437784 2437785 2437786,?,?,
